ticker,earnings_date,eps_estimate,eps_actual,surprise_pct
AAPL,2025-06-30,1.42572,1.57,10.12
AAPL,2025-09-30,1.76993,1.85,4.52
AAPL,2025-12-31,2.6708,2.84,6.34
AAPL,2026-03-31,1.94275,2.01,3.46
AMD,2025-06-30,0.48264,0.48,-0.5499999999999999
AMD,2025-09-30,1.171,1.2,2.48
AMD,2025-12-31,1.31917,1.53,15.98
AMD,2026-03-31,1.29468,1.37,5.82
AMZN,2025-06-30,1.33192,1.68,26.13
AMZN,2025-09-30,1.55757,1.95,25.2
AMZN,2025-12-31,1.95962,1.95,-0.49
AMZN,2026-03-31,1.65303,2.78,68.17999999999999
BAC,2025-06-30,0.858,0.89,3.73
BAC,2025-09-30,0.9461,1.06,12.04
BAC,2025-12-31,0.95866,0.98,2.23
BAC,2026-03-31,1.02044,1.11,8.7799996
COST,2025-05-31,4.2278,4.28,1.23000005
COST,2025-08-31,5.80441,5.87,1.13
COST,2025-11-30,4.27711,4.5,5.21
COST,2026-02-28,4.54467,4.58,0.7799999999999999
CRM,2025-04-30,2.54652,2.58,1.3099999
CRM,2025-07-31,2.77924,2.91,4.7
CRM,2025-10-31,2.8622,3.25,13.55
CRM,2026-01-31,3.05166,3.81,24.85
CVX,2025-06-30,1.7402,1.77,1.71
CVX,2025-09-30,1.70678,1.85,8.3900005
CVX,2025-12-31,1.44481,1.52,5.1999997
CVX,2026-03-31,0.96868,1.41,45.560002
DIS,2025-06-30,1.44649,1.61,11.3000005
DIS,2025-09-30,1.02382,1.11,8.42
DIS,2025-12-31,1.5758,1.63,3.44
DIS,2026-03-31,1.49547,1.57,4.9799999999999995
GOOGL,2025-06-30,2.18615,2.31,5.6700002
GOOGL,2025-09-30,2.26199,2.87,26.88
GOOGL,2025-12-31,2.63521,2.82,7.01
GOOGL,2026-03-31,2.66714,5.11,91.59
GS,2025-06-30,9.66225,10.91,12.91
GS,2025-09-30,11.08738,12.25,10.4899995
GS,2025-12-31,11.65403,14.01,20.22
GS,2026-03-31,16.39241,17.55,7.06
HD,2025-04-30,3.58912,3.56,-0.8099999999999999
HD,2025-07-31,4.69448,4.68,-0.31
HD,2025-10-31,3.83395,3.74,-2.4500001
HD,2026-01-31,2.5232,2.72,7.8
INTC,2025-06-30,0.00847,-0.1,-200.0
INTC,2025-09-30,0.00714,0.23,200.0
INTC,2025-12-31,0.08264,0.15,81.51
INTC,2026-03-31,0.01313,0.29,200.0
JNJ,2025-06-30,2.68396,2.77,3.2099999999999995
JNJ,2025-09-30,2.75894,2.8,1.49
JNJ,2025-12-31,2.46271,2.46,-0.11
JNJ,2026-03-31,2.67727,2.7,0.8500000000000001
JPM,2025-06-30,4.48379,4.96,10.620000000000001
JPM,2025-09-30,4.87467,5.07,4.01
JPM,2025-12-31,4.81831,4.63,-3.9100002000000003
JPM,2026-03-31,5.51098,5.94,7.7800006
KO,2025-06-30,0.83708,0.87,3.9300002000000003
KO,2025-09-30,0.77857,0.82,5.3200003
KO,2025-12-31,0.56479,0.58,2.69
KO,2026-03-31,0.81227,0.86,5.88
META,2025-06-30,5.90298,7.14,20.959999
META,2025-09-30,6.70696,1.05,-84.33999399999999
META,2025-12-31,8.22253,8.88,8.0
META,2026-03-31,6.65872,10.44,56.79
MSFT,2025-06-30,3.37669,3.65,8.09
MSFT,2025-09-30,3.66355,4.13,12.73
MSFT,2025-12-31,3.91702,4.14,5.6900002
MSFT,2026-03-31,4.05827,4.27,5.2199997
NFLX,2025-06-30,0.70326,0.719,2.2399999999999998
NFLX,2025-09-30,0.69707,0.587,-15.790000000000001
NFLX,2025-12-31,0.55208,0.56,1.43
NFLX,2026-03-31,1.24746,1.23,-1.39999995
NVDA,2025-04-30,0.74988,0.81,8.02
NVDA,2025-07-31,1.00867,1.05,4.099999700000001
NVDA,2025-10-31,1.25647,1.3,3.46
NVDA,2026-01-31,1.53812,1.62,5.3200003
PFE,2025-06-30,0.5738,0.78,35.939997
PFE,2025-09-30,0.63307,0.87,37.43
PFE,2025-12-31,0.56808,0.66,16.18
PFE,2026-03-31,0.72166,0.75,3.9300002000000003
PG,2025-06-30,1.42116,1.48,4.14
PG,2025-09-30,1.89677,1.99,4.9200002
PG,2025-12-31,1.85685,1.88,1.25
PG,2026-03-31,1.55547,1.59,2.22
TSLA,2025-06-30,0.40391,0.4,-0.97
TSLA,2025-09-30,0.55885,0.5,-10.5299994
TSLA,2025-12-31,0.45061,0.5,10.96
TSLA,2026-03-31,0.34999,0.41,17.150000000000002
UNH,2025-06-30,4.44587,4.08,-8.229999000000001
UNH,2025-09-30,2.80806,2.92,3.9899999999999998
UNH,2025-12-31,2.10607,2.11,0.19
UNH,2026-03-31,6.60176,7.23,9.520000000000001
WMT,2025-04-30,0.57746,0.61,5.6399997
WMT,2025-07-31,0.73887,0.68,-7.969999999999999
WMT,2025-10-31,0.60128,0.62,3.11
WMT,2026-01-31,0.727,0.74,1.79
XOM,2025-06-30,1.56293,1.64,4.93
XOM,2025-09-30,1.82466,1.88,3.0299999
XOM,2025-12-31,1.69102,1.71,1.1199999999999999
XOM,2026-03-31,1.00743,1.16,15.14
